Year,DOI,ArticleNumber,FigId,FigNumber,Label,ImageType,ImageFileName,Width,Height,DriveFileId,Caption
2021,10.1109/TVCG.2021.3114679,9552465,fig1,1,Fig. 1.,F,tvcg_2021_3114679_fig_1.png,722,189,1zUezw7vBsAdWwYE16zC6PB627g2vd46r,(A) and (B) are comparisons between static probabilistic networks and sampled network realizations from a random graph model defined by probabilistically weighted edges. Both (A) and (B) consist of 21 vertices with corresponding density values of 0.9 and 0.5.
2021,10.1109/TVCG.2021.3114679,9552465,fig2,2,Fig. 2.,F,tvcg_2021_3114679_fig_2.png,382,128,1VlknClupMPnxcUzHsMRx2ZjFMmaFgwXS,Probabilistic graph layout by schulz et al. [81].
2021,10.1109/TVCG.2021.3114679,9552465,fig3,3,Fig. 3.,F,tvcg_2021_3114679_fig_3.png,414,286,1HvxlO4k2XDjfeRsvKpMrwlzuG0j7GbB6,(A) Probabilistic network realizations with community structures detected by brandes et al. [7]. Vertices are colored to indicate community membership. (B) Same as (a) but with a community matching algorithm applied as described in sect. 3.2
2021,10.1109/TVCG.2021.3114679,9552465,fig4,4,Fig. 4.,F,tvcg_2021_3114679_fig_4.png,372,122,1IzteDwbWu4xFsMiTSGolH68ThLvAgvSX,"Modified distribution builder adapted from [2], [38] with kernel density curve used to elicit uncertainty perception."
2021,10.1109/TVCG.2021.3114679,9552465,fig5,5,Fig. 5.,F,tvcg_2021_3114679_fig_5.png,796,331,1kNCShyvMeHzPuAXaLEsxqiRZaG0rdE0Q,"(A). Left: barplots display participants' discrete responses for browsing, topology, and overview (isolate) tasks stacked on top of each other against the ground truth distribution in red. Right: empirical cumulative distribution functions based on participants' elicited discrete responses shown in the barplots on the left. (B). Left: the density plot shows participants' continuous responses for the network density task stacked on top of each other against the ground truth distribution in red. Right: empirical cumulative distribution functions based on participants' elicited network density estimations are shown in the density plot on the left. (C). Strip plots present participants' deterministic probability estimates with 95% bootstrapped cls for each attribute-based task from the study. The ground truth probabilities for each task are shown as red points between the cls. We elicited four probability estimates for node-attribute tasks and two for edge-attribute tasks from both advice-seeking and friendship networks."
2021,10.1109/TVCG.2021.3114679,9552465,fig6,6,Fig. 6.,F,tvcg_2021_3114679_fig_6.png,395,379,1PQyC1Rq8Kb_B_mHb7ZLoueIlHSB1J2wt,"(A) And (b) display the bootstrapped mean EMD scores with 95% CI for browsing (shortest path length), overview (isolate and network density), and topology (distinct community) tasks. (C) And (d) display the bootstrapped mean of probability estimation errors for each attribute-based task on node community stability and edge occurrence."
2021,10.1109/TVCG.2021.3114679,9552465,fig7,7,Fig. 7.,F,tvcg_2021_3114679_fig_7.png,402,224,1gZ2MAfpQllCWOnzJadAf7osiDjicByCv,Bootstrapped means with 95% cls for anchoring (a) and frame rate (b) parameters used by participants.
2021,10.1109/TVCG.2021.3114679,9552465,fig8,8,Fig. 8.,F,tvcg_2021_3114679_fig_8.png,392,236,12DYunLbAWBDIa3RzxIzCon2JFMfDrwbI,Participants' use of graphical visual aids.
2021,10.1109/TVCG.2021.3114679,9552465,fig9,9,Fig. 9.,F,tvcg_2021_3114679_fig_9.png,391,135,111B09YykUFCahJIwdsmRmnkxIYdjYMm0,Sampling error for the distribution elicitation tasks in EMD based on 500 samples of 150 network realizations.
2021,10.1109/TVCG.2021.3114679,9552465,fig10,10,Fig. 10.,F,tvcg_2021_3114679_fig_10.png,392,183,1Le1-dY9uLhvuC-nVSnhe0bHZcDA13_Dz,Pearson's correlation with 95% cls between task completion time (mins.) and perception accuracy.
