Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,ArticleNumber,MediaPath,NumFigures
VIS,2021,Semantic Resizing of Charts Through Generalization: A Case Study with Line Charts,10.1109/VIS49827.2021.9623306,http://dx.doi.org/10.1109/VIS49827.2021.9623306,1,5,C,"Inspired by cartographic generalization principles, we present a generalization technique for rendering line charts at different sizes, preserving the important semantics of the data at that display size. The algorithm automatically determines the generalization operators to be applied at that size based on spatial density, distance, and the semantic importance of the various visualization elements in the line chart. A qualitative evaluation of the prototype that implemented the algorithm indicates that the generalized line charts preserved the general data shape, while minimizing visual clutter. We identify future opportunities where generalization can be extended and applied to other chart types and visual analysis authoring tools.",Vidya Setlur;Haeyong Chung,Vidya Setlur;Haeyong Chung,Tableau Research;University of Alabama in Huntsville,,"Responsive charts,visual clutter,spatial metrics,Human-centered computing,Visualization",,,47,,,,9623306,/mediastore/IEEE/content/media/9622895/9623263/9623306,4
VIS,2021,CloudFindr: A Deep Learning Cloud Artifact Masker for Satellite DEM Data,10.1109/VIS49827.2021.9623327,http://dx.doi.org/10.1109/VIS49827.2021.9623327,1,5,C,"Artifact removal is an integral component of cinematic scientific visualization, and is especially challenging with big datasets in which artifacts are difficult to define. In this paper, we describe a method for creating cloud artifact masks which can be used to remove artifacts from satellite imagery using a combination of traditional image processing together with deep learning based on U-Net. Compared to previous methods, our approach does not require multi-channel spectral imagery but performs successfully on single-channel Digital Elevation Models (DEMs). DEMs are a representation of the topography of the Earth and have a variety applications including planetary science, geology, flood modeling, and city planning.",Kalina Borkiewicz;Viraj Shah;J.P. Naiman;Chuanyue Shen;Stuart Levy;Jeff Carpenter,Kalina Borkiewicz;Viraj Shah;J.P. Naiman;Chuanyue Shen;Stuart Levy;Jeff Carpenter,University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign,,"cinematic scientific visualization,science communication,public outreach,broad impact,data visualization,data processing,machine learning,deep learning,u net,image processing,data preparation",,,23,,,,9623327,/mediastore/IEEE/content/media/9622895/9623263/9623327,8
VIS,2021,An Exploration And Validation of Visual Factors in Understanding Classification Rule Sets,10.1109/VIS49827.2021.9623303,http://dx.doi.org/10.1109/VIS49827.2021.9623303,6,10,C,"Rule sets are often used in Machine Learning (ML) as a way to communicate the model logic in settings where transparency and intelligibility are necessary. Rule sets are typically presented as a text-based list of logical statements (rules). Surprisingly, to date there has been limited work on exploring visual alternatives for presenting rules. In this paper, we explore the idea of designing alternative representations of rules, focusing on a number of visual factors we believe have a positive impact on rule readability and understanding. We then presents a user study exploring their impact. The results show that some design factors have a strong impact on how efficiently readers can process the rules while having minimal impact on accuracy. This work can help practitioners employ more effective solutions when using rules as a communication strategy to understand ML models.",Jun Yuan;Oded Nov;Enrico Bertini,Jun Yuan;Oded Nov;Enrico Bertini,New York University;New York University;New York University,,"Ruman-centered computing,Visualization,Empirical studies in visualization",,,27,,,,9623303,/mediastore/IEEE/content/media/9622895/9623263/9623303,4
VIS,2021,Fast & Accurate Gaussian Kernel Density Estimation,10.1109/VIS49827.2021.9623323,http://dx.doi.org/10.1109/VIS49827.2021.9623323,11,15,C,"Kernel density estimation (KDE) models a discrete sample of data as a continuous distribution, supporting the construction of visualizations such as violin plots, heatmaps, and contour plots. This paper draws on the statistics and image processing literature to survey efficient and scalable density estimation techniques for the common case of Gaussian kernel functions. We evaluate the accuracy and running time of these methods across multiple visualization contexts and find that the combination of linear binning and a recursive filter approximation by Deriche efficiently produces pixel-perfect estimates across a compelling range of kernel bandwidths.",Jeffrey Heer,Jeffrey Heer,University of Washiington,,"Kernel density estimation,Gaussian convolution,binning,approximation,performance,evaluation",,,27,,,,9623323,/mediastore/IEEE/content/media/9622895/9623263/9623323,8
VIS,2021,“Why did my AI agent lose?”: Visual Analytics for Scaling Up After-Action Review,10.1109/VIS49827.2021.9623268,http://dx.doi.org/10.1109/VIS49827.2021.9623268,16,20,C,"How can we help domain-knowledgeable users who do not have expertise in AI analyze why an AI agent failed? Our research team previously developed a new structured process for such users to assess AI, called After-Action Review for AI (AAR/AI), consisting of a series of steps a human takes to assess an AI agent and formalize their understanding. In this paper, we investigate how the AAR/AI process can scale up to support reinforcement learning (RL) agents that operate in complex environments. We augment the AAR/AI process to be performed at three levels—episode-level, decision-level, and explanation-level—and integrate it into our redesigned visual analytics interface. We illustrate our approach through a usage scenario of analyzing why a RL agent lost in a complex real-time strategy game built with the StarCraft 2 engine. We believe integrating structured processes like AAR/AI into visualization tools can help visualization play a more critical role in AI interpretability.",Delyar Tabatabai;Anita Ruangrotsakun;Jed Irvine;Jonathan Dodge;Zeyad Shureih;Kin-Ho Lam;Margaret Burnett;Alan Fern;Minsuk Kahng,Delyar Tabatabai;Anita Ruangrotsakun;Jed Irvine;Jonathan Dodge;Zeyad Shureih;Kin-Ho Lam;Margaret Burnett;Alan Fern;Minsuk Kahng,Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University,,,,,31,,,,9623268,/mediastore/IEEE/content/media/9622895/9623263/9623268,4
VIS,2021,VAINE: Visualization and AI for Natural Experiments,10.1109/VIS49827.2021.9623285,http://dx.doi.org/10.1109/VIS49827.2021.9623285,21,25,C,"Natural experiments are observational studies where the assignment of treatment conditions to different populations occurs by chance“in the wild”. Researchers from fields such as economics, healthcare, and the social sciences leverage natural experiments to conduct hypothesis testing and causal effect estimation for treatment and outcome variables that would otherwise be costly, infeasible, or unethical. In this paper, we introduce VAINE (Visualization and AI for Natural Experiments), a visual analytics tool for identifying and understanding natural experiments from observational data. We then demonstrate how VAINE can be used to validate causal relationships, estimate average treatment effects, and identify statistical phenomena such as Simpson’s paradox through two usage scenarios.",Grace Guo;Maria Glenski;ZhuanYi Shaw;Emily Saldanha;Alex Endert;Svitlana Volkova;Dustin Arendt,Grace Guo;Maria Glenski;ZhuanYi Shaw;Emily Saldanha;Alex Endert;Svitlana Volkova;Dustin Arendt,Georgia Institute of Technology;Pacific Northwest National Laboratories;Pacific Northwest National Laboratories;Pacific Northwest National Laboratories;Georgia Institute of Technology;Pacific Northwest National Laboratories;Pacific Northwest National Laboratories,,"Human-centered computing,Visualization,Visualization systems and tools,Visualization application domains,Visual analytics",,,21,,,,9623285,/mediastore/IEEE/content/media/9622895/9623263/9623285,4
VIS,2021,Semantic Explanation of Interactive Dimensionality Reduction,10.1109/VIS49827.2021.9623322,http://dx.doi.org/10.1109/VIS49827.2021.9623322,26,30,C,"Interactive dimensionality reduction helps analysts explore the high-dimensional data based on their personal needs and domain-specific problems. Recently, expressive nonlinear models are employed to support these tasks. However, the interpretation of these human-steered nonlinear models during human-in-the-loop analysis has not been explored. To address this problem, we present a new visual explanation design called semantic explanation. Semantic explanation visualizes model behaviors in a manner that is similar to users’ direct projection manipulations. This design conforms to the spatial analytic process and enables analysts better understand the updated model in response to their interactions. We propose a pipeline to empower interactive dimensionality reduction with semantic explanation using counterfactuals. Based on the pipeline, we implement a visual text analytics system with nonlinear dimensionality reduction powered by deep learning via the BERT model. We demonstrate the efficacy of semantic explanation with two case studies of academic article exploration and intelligence analysis.",Yali Bian;Chris North;Eric Krokos;Sarah Joseph,Yali Bian;Chris North;Eric Krokos;Sarah Joseph,Virginia Tech;Virginia Tech;Department of Defense;Department of Defense,,"Interactive Dimensionality Reduction,Projection Explanation,Counterfactual Explanation,Human-in-the-loop Analysis",,,34,,,,9623322,/mediastore/IEEE/content/media/9622895/9623263/9623322,6
VIS,2021,AdViCE: Aggregated Visual Counterfactual Explanations for Machine Learning Model Validation,10.1109/VIS49827.2021.9623271,http://dx.doi.org/10.1109/VIS49827.2021.9623271,31,35,C,"Rapid improvements in the performance of machine learning models have pushed them to the forefront of data-driven decision-making. Meanwhile, the increased integration of these models into various application domains has further highlighted the need for greater interpretability and transparency. To identify problems such as bias, overfitting, and incorrect correlations, data scientists require tools that explain the mechanisms with which these model decisions are made. In this paper we introduce AdViCE, a visual analytics tool that aims to guide users in black-box model debugging and validation. The solution rests on two main visual user interface innovations: (1) an interactive visualization design that enables the comparison of decisions on user-defined data subsets; (2) an algorithm and visual design to compute and visualize counterfactual explanations - explanations that depict model outcomes when data features are perturbed from their original values. We provide a demonstration of the tool through a use case that showcases the capabilities and potential limitations of the proposed approach.",Oscar Gomez;Steffen Holter;Jun Yuan;Enrico Bertini,Oscar Gomez;Steffen Holter;Jun Yuan;Enrico Bertini,;;;,,"Machine learning,interpretability,explainability,counterfactual explanations,data visualization",,,34,,,,9623271,/mediastore/IEEE/content/media/9622895/9623263/9623271,2
VIS,2021,Contrastive Identification of Covariate Shift in Image Data,10.1109/VIS49827.2021.9623289,http://dx.doi.org/10.1109/VIS49827.2021.9623289,36,40,C,"Identifying covariate shift is crucial for making machine learning systems robust in the real world and for detecting training data biases that are not reflected in test data. However, detecting covariate shift is challenging, especially when the data consists of high-dimensional images, and when multiple types of localized covariate shift affect different subspaces of the data. Although automated techniques can be used to detect the existence of covariate shift, our goal is to help human users characterize the extent of covariate shift in large image datasets with interfaces that seamlessly integrate information obtained from the detection algorithms. In this paper, we design and evaluate a new visual interface that facilitates the comparison of the local distributions of training and test data. We conduct a quantitative user study on multi-attribute facial data to compare two different learned low-dimensional latent representations (pretrained ImageNet CNN vs. density ratio) and two user analytic workflows (nearest-neighbor vs. cluster-to-cluster). Our results indicate that the latent representation of our density ratio model, combined with a nearest-neighbor comparison, is the most effective at helping humans identify covariate shift.",Matthew L. Olson;Thuy-Vy Nguyen;Gaurav Dixit;Neale Ratzlaff;Weng-Keen Wong;Minsuk Kahng,Matthew L. Olson;Thuy-Vy Nguyen;Gaurav Dixit;Neale Ratzlaff;Weng-Keen Wong;Minsuk Kahng,Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University;Oregon State University,,,,,21,,,,9623289,/mediastore/IEEE/content/media/9622895/9623263/9623289,5
VIS,2021,TimeElide: Visual Analysis of Non-Contiguous Time Series Slices,10.1109/VIS49827.2021.9623320,http://dx.doi.org/10.1109/VIS49827.2021.9623320,41,45,C,"We introduce the design and implementation of TimeElide, a visual analysis tool for the novel data abstraction of non-contiguous time series slices, namely time intervals that contain a sequence of time-value pairs but are not adjacent to each other. This abstraction is relevant for analysis tasks where time periods of interest are known in advance or inferred from the data, rather than discovered through open-ended visual exploration. We present a visual encoding design space as an underpinning of TimeElide, and the new sparkbox technique for visualizing fine and coarse grained temporal structures within one view. Datasets from different domains and with varying characteristics guided the development and their analysis provides preliminary evidence of TimeElide’s utility. We provide open-source code and demo at https://github.com/UBC-InfoVis/time-elide and supplemental materials at https://osf.io/yqvmf/.",Michael Oppermann;Luce Liu;Tamara Munzner,Michael Oppermann;Luce Liu;Tamara Munzner,University of British Columbia;University of British Columbia;University of British Columbia,,"Human-centered computing,Visualization,Visualization systems and tools",,,26,,,,9623320,/mediastore/IEEE/content/media/9622895/9623263/9623320,3
