Year,DOI,ArticleNumber,FigId,FigNumber,Label,ImageType,ImageFileName,Width,Height,DriveFileId,Caption
2021,10.1109/VIS49827.2021.9623306,9623306,fig1,1,Figure 1:,F,vis_2021_9623306_fig_1.png,3475,975,1Jr8NwyjTryzLzL1_Gp9BXN4wwrfLVY_J,An example of a line chart automatically generalized to different display sizes. The algorithm preserves the various elements of the line chart based on their semantic importances at a given display size.
2021,10.1109/VIS49827.2021.9623306,9623306,fig2,2,Figure 2:,F,vis_2021_9623306_fig_2.png,2042,1042,19NLSLQ1P9EZlztj0N0d8qe6t7vf3qUQG,"Computing density. The entire multivariate line chart view is divided into n × m uniform cells and density at each cell is calculated to determine the number of elements visible within each cell area. Darker the square, higher the density."
2021,10.1109/VIS49827.2021.9623306,9623306,fig3,3,Figure 3:,F,vis_2021_9623306_fig_3.png,2000,617,1UjJY1RkjsDdcjlzX-qVcixHtvx0Jl_j5,"Left: Before elimination. Right: After elimination. Here, a few intermediate labels are removed as they are less important than other labels denoting start and end points as well as local maxima."
2021,10.1109/VIS49827.2021.9623306,9623306,fig4,4,Figure 4:,F,vis_2021_9623306_fig_4.png,2000,392,1QK7zOLke--dOz3nvx78nXXgjrbLyybZC,"Left: Before merging. Right: After merging. Here, the domain of the x-axis is updated to merge yearly tick marks to two-year intervals."
2021,10.1109/VIS49827.2021.9623327,9623327,fig1,1,Figure 1:,F,vis_2021_9623327_fig_1.png,2008,925,1bAOJ9Pd1y-j2WXj4HWPB-4T5kyR7n8a4,"A 3D visualization of a DEM region without cloud artifact removal, showing large spikes where the height of the land is incorrectly labelled with the height of a cloud."
2021,10.1109/VIS49827.2021.9623327,9623327,fig2,2,Figure 2:,F,vis_2021_9623327_fig_2.png,2008,1133,1_0ewp-g6cBeKU9Ox5Pxf_dxzsTFsncHf,Final cloud-free cinematic rendering of the Jakobshavn glacier used in the Atlas of a Changing Earth documentary.
2021,10.1109/VIS49827.2021.9623327,9623327,fig3,3,Figure 3:,F,vis_2021_9623327_fig_3.png,2000,1092,1ziXI_MMTSmqnp3QCxBi1bWhXjO0QaiJN,"Example showing the inputs (left, middle) used to output a hand-drawn mask (right) for one sample timestep. Top row shows individual strips, bottom row shows accumulated buildup of strips. Left column shows DEM data, middle column shows artificially shaded preview, right column shows resulting mask (repeated in both rows)."
2021,10.1109/VIS49827.2021.9623327,9623327,fig4,4,Figure 4:,F,vis_2021_9623327_fig_4.png,2008,958,1_1EVoB41avDipwRsEqEQqaHsGJnySAca,GLCM features for three main types of land covers.
2021,10.1109/VIS49827.2021.9623327,9623327,fig5,5,Figure 5:,F,vis_2021_9623327_fig_5.png,2008,642,1qJ2ytell_7CS3wuJ7MrQOsfX5FAly4DV,"The CloudFindr architecture, based on U-Net [14]."
2021,10.1109/VIS49827.2021.9623327,9623327,fig6,6,Figure 6:,F,vis_2021_9623327_fig_6.png,2008,483,1OqLFtGtKtR2pUMgAXKpnPFYwO7zcPBlv,"One example patch where it would be difficult for a casual observer to identify clouds, but the expert and machine learning prediction have closely-aligned results. From left to right: Input DEM patch, ground truth mask hand-drawn by an expert, confidence of prediction after ensemble voting, final thresholded predicted mask."
2021,10.1109/VIS49827.2021.9623327,9623327,fig7,7,Figure 7:,F,vis_2021_9623327_fig_7.png,2008,483,1CQz0pQSjUWORnwF5Em-YSNEC9o49Ee2k,Confusion matrix showing the success of the predictions after all processing.
2021,10.1109/VIS49827.2021.9623327,9623327,fig8,8,Figure 8:,F,vis_2021_9623327_fig_8.png,2008,2125,1OBlNR03iC5vCAm8MNaZi7cbJgLwzomvi,Images showing the same single frame of a final 3D render. Top: using no cloud mask. Middle: using cloud mask created via the method described here. Bottom: using masks created manually by a rotoscoping expert. Red boxes draw attention to areas with especially visible clouds; yellow boxes show that the clouds have been mostly removed; green boxes show that they have been entirely removed.
2021,10.1109/VIS49827.2021.9623303,9623303,fig1,1,Figure 1:,F,vis_2021_9623303_fig_1.png,1858,592,1WzYATtnECpqLj-jR4OtKOb9J0raBvcUS,Terminology used to describe rules. Using rule set generated on the diabetes data set as an example.
